Code SP+ de la structure;Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;INSEE Ville;INSEE Département;INSEE Région
STR-691;France services;Structure France services;"""Agora"" Boulazac Isle Manoire";;2314;Matricule;caXOde9y4y;ANCT;Espace Agora;;24750;Boulazac Isle Manoire;France;;;;;;Oui;com24053;dep24;reg75
Rcs2x8hVpb;POLE EMPLOI;AGENCE SPECIALISEE POLE EMPLOI (APES);A2S MARTINIQUE-PE;A2S MARTINIQUE-PE;MAR0014;;J1wnlZ4lHZ;DTD CENTRE-NORD CARAIBES-PE;;;97200;FORT DE FRANCE;France;;;;;;Oui;com97209;dep972;reg02
O3o7OnIunc;Ministère de la Justice;Bureau d'aide aux victimes;AAVIP 973;AAVIP 973;;;STR-835;MDPAAD CA de Cayenne;6 rue du Fort Ceperou;;97300;CAYENNE;France;;;;;;Oui;com97302;dep973;reg03
9XKnW1FiXP;Ministère de la Justice;Bureau d'aide aux victimes;AAVIV;AAVIV;;;STR-826;MDPAAD CA d'Aix-en-Provence;146 Avenue Maréchal Foch;;83100;TOULON;France;;;;;;Oui;com83137;dep83;reg93
qJSKqL43cC;France services;Structure France services;Abbeville;Structure labellisée France services sur le territoire national;468;Matricule;caXOde9y4y;ANCT;8 rue des Aubépines;;80100;ABBEVILLE;France;;;;;;Oui;com80001;dep80;reg32
iZud796HuA;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABBEVILLE-PE;ABBEVILLE-PE;HDF0187;;FFLz2Fnouq;DTD SOMME-PE;;;80142;ABBEVILLE;France;;;;;;Oui;com80001;dep80;reg32
STR-373;France services;Structure France services;Abondance;;1587;Matricule;caXOde9y4y;ANCT;64 Rue de la Dranse;;74360;Abondance;France;;;;;;Oui;com74001;dep74;reg84
STR-507;France services;Structure France services;ABSCON;;2125;Matricule;caXOde9y4y;ANCT;1 BIS RUE LOUIS PASTEUR;;59215;ABSCON;France;;;;;;Oui;com59002;dep59;reg32
zQYXTgfUo0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABYMES CARUEL-PE;ABYMES CARUEL-PE;GUA0183;;znKgU6C3Du;DT 971 GRANDE -TERRE CAP EXCELLENCE-PE;;;97139;LES ABYMES;France;;;;;;Oui;com97101;dep971;reg01
hXc4nPCROB;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABYMES DOTHEMARE-PE;ABYMES DOTHEMARE-PE;GUA0027;;znKgU6C3Du;DT 971 GRANDE -TERRE CAP EXCELLENCE-PE;;;97139;LES ABYMES;France;;;;;;Oui;com97101;dep971;reg01
fD4vAVAJbk;Ministère de la Justice;Bureau d'aide aux victimes;ACFAV;ACFAV;;;STR-859;MDPAAD CA de Saint-Denis-de-la-Réunion;119 route nationale Mtsapéré;;97600;MAMOUDZOU (Mayotte);France;;;;;;Oui;com97610;dep976;reg06
