Code sp+ typologie;Intitulé de la typologie;Description de la typologie;Intitulé typologie usager court;Intitulé complet;Typologie parente;Maille;Moyens de contact;Mots-clés;Clés de tracking;Tags métiers
W5jVlarV2g;115;;115;115 (numéro d'urgence sociale);Réseau hors réseau;National;Téléphone;;;
3s4yqIA4t7;119;;119;Allô 119 (enfants en danger);Réseau hors réseau;National;Téléphone;119;;
1CXBuo2nby;3939;;Allô Service Public;Allô Service Public (3939);Réseau hors réseau;National;Téléphone;3939;;
hynG4ZjKWs;ACTION LOGEMENT;;ACTION LOGEMENT;ACTION LOGEMENT;Réseau hors réseau;National;Téléphone, E-mail, Démarche en ligne, Compte ou espace personnel;action-logement;;
p8Hfc4aCDZ;ADEME;;MINISTERE TRANSITION ECOLOGIQUE;Agence de la transition écologique (ADEME);MTE-MCTRCT;National;Téléphone, E-mail, Démarche en ligne, Compte ou espace personnel, Réseaux Sociaux, Tchat (messagerie instantanée);;;
t175uS2khN;Administration centrale du ministère de la Culture;;Administration centrale du ministère de la Culture;Administration centrale du ministère de la Culture;Ministère de la Culture;National;;;;
UUKx6KnpOu;Administration territoriale de l'Etat;;Préfectures;Préfectures et Administration territoriale de l'Etat;;National;;;;
RDmd9J571A;Afpa Accès à l'Emploi;;Afpa Accès à l'Emploi;Accès à l'Emploi AFPA (Agence nationale pour la formation professionnelle des adultes);Agence nationale pour l'amélioration des conditions de travail (Anact);National;Téléphone, Courrier, Démarche en ligne, Courrier, Compte ou espace personnel, Réseaux Sociaux;;;
jcVbgNcGwt;Afpa Entreprises;;Afpa Entreprises;Entreprises Afpa (Agence nationale pour la formation professionnelle des adultes);Agence nationale pour l'amélioration des conditions de travail (Anact);National;Téléphone, E-mail, Courrier, Démarche en ligne, Courrier, Compte ou espace personnel, Réseaux Sociaux;;;
cceFzWD5oO;Agence de services et de paiement (ASP);;ASP;Agence de Services et de Paiement (ASP);Ministère de l'Agriculture et de l'Alimentation;National;Accueil, Téléphone, E-mail, Courrier, Démarche en ligne, Courrier, Compte ou espace personnel, Réseaux Sociaux;;;
