"Réseau	";Liste des typologies;Code sp+ indicateur; Intitulé original de l'indicateur;Intitulé usager de l'indicateur;Type d'indicateur;Type d'Unité;Unité;Type de graphe;Type de graphe évolution;Affichage;Date de mise à jour
CAISSE NATIONALE MILITAIRE DE SECURITE SOCIALE;CAISSE NATIONALE MILITAIRE DE SECURITE SOCIALE;IND-26;Taux de satisfaction globale des bénéficiaires;Taux de satisfaction globale des bénéficiaires;satisfaction;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Institut Français du Cheval et de l'Equitation (IFCE);IND-58;Taux de satisfaction lié à l'accueil téléphonique;Taux de satisfaction lié à l'accueil téléphonique;satisfaction;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Etablissement d'enseignement technique agricole;IND-74;Taux d'insertion professionnelle à 33 mois pour le Bac professionnel;Taux d'insertion professionnelle à 33 mois pour le Bac professionnel;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Etablissement Français du Sang;Etablissement Français du Sang, ETS;IND-90;Note de satisfaction du délai d’attente - sites fixes;Satisfaction du délai d’attente avant le don;satisfaction;Note;10;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
CNAF;CAF, CNAF;IND-122;Taux de satisfaction globale des échanges de courriels;Taux de satisfaction relatif aux échanges de courriels;satisfaction;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
CCMSA;MSA, CCMSA;IND-202;Vous êtes x% à percevoir vos prestations familiales le mois suivant l'ouverture de vos droits;Taux d’usagers percevant leurs prestations dans le mois suivant l’ouverture des droits;performance;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
MTE-MCTRCT;Prime à la conversion;IND-218;Part de véhicules d'occasion parmi les primes payées;Part de véhicules d'occasion parmi les primes payées;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
URSSAF;Caisse régionale URSSAF, Centre national CESU, Centre national PAJEMPLOI, URSSAF;IND-250;Taux d'appels ayant donné lieu à une conversation téléphonique;Taux d'appels téléphoniques aboutis;performance;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
DGCCRF;SignalConso;IND-27;Taux de satisfaction des usagers vis-à-vis de la plateforme numérique SignalConso;Taux de satisfaction des usagers vis-à-vis de la plateforme numérique SignalConso;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Institut Français du Cheval et de l'Equitation (IFCE);IND-59;Taux d'emploi post-formation;Taux d'emploi post-formation;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Etablissement d'enseignement technique agricole;IND-75;Taux d'insertion professionnelle à 33 mois pour le Certificat d'aptitude professionnel agricole (CAPA);Taux d'insertion professionnelle à 33 mois pour le CAPA;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Etablissement Français du Sang;Etablissement Français du Sang, ETS, Ensemble des collectes mobiles de l'ETS;IND-91;Note de satisfaction du délai d’attente - sites mobiles;Satisfaction du délai d’attente avant le don;satisfaction;Note;10;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de la Justice;TRIBUNAL JUDICIAIRE;IND-171;Délai d'attente (satisfaction);Taux de satisfaction relatif au délai d'attente;satisfaction;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
MTE-MCTRCT;ADEME;IND-203;Taux de satisfaction globale des bénéficiaires professionnels des actions de l'ADEME;Taux de satisfaction globale des bénéficiaires professionnels des actions de l'ADEME;satisfaction;Note;10;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
MTE-MCTRCT;Inscription au registre des transports routiers;IND-235;Part des demandes avec une première réponse dans les 30 jours;Part des demandes avec une première réponse dans les 30 jours;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de la Justice;Casier judiciaire national;IND-283;Taux de satisfaction relatif à la réponse reçue par courriel;Taux de satisfaction relatif à la réponse reçue par courriel;satisfaction;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
DGCCRF;SignalConso;IND-28;Taux de satisfaction des professionnels vis-à-vis des télé-procédures;Taux de satisfaction des professionnels vis-à-vis des télé-procédures;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Institut Français du Cheval et de l'Equitation (IFCE);IND-60;Taux de satisfaction lié aux formations longues;Taux de satisfaction lié aux formations longues;satisfaction;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de l'Agriculture et de l'Alimentation;Etablissement d'enseignement technique agricole;IND-76;Taux de mention à l'examen pour Bac Professionnel;Taux de mention à l'examen pour Bac Professionnel;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Etablissement Français du Sang;ETS, Ensemble des collectes mobiles de l'ETS, Maison du don, Etablissement Français du Sang;IND-92;Note de satisfaction Globale;Satisfaction globale quant au dernier don de sang;satisfaction;Note;10;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
DGFIP;Service des Impôts des particuliers, Service des Impôts des particuliers et des entreprises, DGFIP;IND-108;Taux de satisfaction globale (tous canaux confondus);Taux de satisfaction globale des usagers;satisfaction;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
Ministère de la Culture;Musées nationaux et assimilés;IND-140;Taux d'ouverture des salles;Taux d'ouverture des salles;performance;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
CNAM;CPAM, CNAM;IND-188;Taux de satisfaction relatif à la qualité de l'accueil téléphonique;Taux de satisfaction relatif à la qualité de l'accueil téléphonique;satisfaction;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
MTE-MCTRCT;ADEME;IND-204;Taux de satisfaction globale des bénéficiaires grand public des actions de l'ADEME;Taux de satisfaction globale des bénéficiaires grand public des actions de l'ADEME;satisfaction;Note;10;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
Universités et écoles;Université, Ecole, Universités et écoles;IND-268;Taux d'insertion professionnelle à 18 mois des diplômés 2016 de licence - Lettres-Langues-Arts;Taux d'insertion professionnelle des diplômés 2016 de licence - Lettres-Langues-Arts;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
CNAV;Carsat, CGSS RETRAITE, Assurance retraite Ile de France, CNAV;IND-13;Taux de satisfaction globale concernant la demande de retraite;Taux de satisfaction globale des usagers;satisfaction;Taux;%;Multi Barres;Evolution;Oui;mer 23/02/2022 - 14:51
DGCCRF;SignalConso;IND-29;Taux de satisfaction des professionnels vis-à-vis de la télé-procédure téléfel;Taux de satisfaction des professionnels vis-à-vis de la télé-procédure téléfel;performance;Taux;%;Unique Valeur;Evolution;Oui;mer 23/02/2022 - 14:51
