"Réseau	";" Intitulé original de l'indicateur";"Intitulé usager de l'indicateur";"Type d'indicateur";"Sources et méthodes";Affichage;Pondération;"Type d'Unité";Unité;"Code sp+ indicateur";"Type de graphe";"Type de graphe évolution";Utile;"Pas utile";"Date de mise à jour";Actif
"Ministère de l'Agriculture et de l'Alimentation";"Taux d'insertion professionnelle des diplomés à 24 mois";"Taux d'insertion professionnelle des diplomés à 24 mois";performance;"Enquête exhaustive sur l'insertion professionnelle des diplômés réalisée en 2020 au sein des écoles de l'enseignement supérieur agronomique, vétérinaire et de paysage relevant du ministère de l'agriculture et de l'alimentation.

Données nationales, par filière et par établissement
Source : enquête exhaustive sur l'insertion professionnelle des diplômés réalisée en 2020 au sein des écoles de l'enseignement supérieur agronomique, vétérinaire et de paysage relevant du ministère de l'agriculture et de l'alimentation.
Producteur : Ministère de l'Agriculture et de l'Alimentation
Mode de calcul : Le taux net d'emploi (TNE) correspond à la proportion d'actifs en activité professionnelle (y compris en volontariat) rapportée à l'ensemble de la population active (individus en activité professionnelle et en recherche d'emploi). Les élèves fonctionnaires sont exclus du calcul.
Note : Certains résultats peuvent être à considérer avec précaution au regard de la taille de la population concernée, en particulier pour les paysagistes.";Oui;;Taux;%;IND-68;"Multi Barres";Evolution;;;"lun 02/05/2022 - 14:48";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux d'insertion professionnelle des diplomés à 12 mois";"Taux d'insertion professionnelle des diplomés à 12 mois";performance;"Enquête exhaustive sur l'insertion professionnelle des diplômés réalisée en 2020 au sein des écoles de l'enseignement supérieur agronomique, vétérinaire et de paysage relevant du ministère de l'agriculture et de l'alimentation.

Données nationales, par filière et par établissement
Source : enquête exhaustive sur l'insertion professionnelle des diplômés réalisée en 2020 au sein des écoles de l'enseignement supérieur agronomique, vétérinaire et de paysage relevant du ministère de l'agriculture et de l'alimentation.
Producteur : Ministère de l'Agriculture et de l'Alimentation
Mode de calcul : Le taux net d'emploi (TNE) correspond à la proportion d'actifs en activité professionnelle (y compris en volontariat) rapportée à l'ensemble de la population active (individus en activité professionnelle et en recherche d'emploi). Les élèves fonctionnaires sont exclus du calcul.
Note : Certains résultats peuvent être à considérer avec précaution au regard de la taille de la population concernée, en particulier pour les paysagistes.";Oui;;Taux;%;IND-67;"Multi Barres";Evolution;;;"lun 02/05/2022 - 14:48";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux d'usage volontaire des services en lignes";"Part des usagers ayant choisi de réaliser leur démarche en ligne plutôt que sur papier";performance;"Données recensées dans le cadre du rapport annuel de performance : taux d’utilisation des services en ligne non obligatoires (déclaration de ruchers, inscription aux examens de l’enseignement agricole avec Arpent Examens, demande d’autorisation d’exploiter avec LOGICS, demande de remboursement partiel de la taxe intérieure de consommation TICPE/TICGN)";Oui;;Taux;%;IND-37;"Unique Valeur";Evolution;1;0;"mer 06/04/2022 - 15:19";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Satisfaction quant aux informations disponibles sur les sites Internet";"Part des visiteurs ayant trouvé l'information recherchée sur nos sites Internet";satisfaction;"Résultats des enquêtes en ligne menées sur les sites Internet agriculture.gouv.fr, mesdémarches, et des sites Internet des directions (régionales) de l’alimentation, de l’agriculture et de la forêt 
1 091 répondants";Oui;;Taux;%;IND-36;"Unique Valeur";Evolution;1;0;"mer 06/04/2022 - 15:19";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Satisfaction quant à l'utilisation d'un service en ligne";"Part des usagers satisfaits du service en ligne";satisfaction;"Résultats de l'enquête en ligne menée via le bouton ""mon avis"" (cf https://observatoire.numerique.gouv.fr/observatoire/), sur les principales démarches du MAA : certiphyto, Dematic, déclarations de ruches, déclaration de manipulation des denrées animales, LOGICS, demande de remboursement partiel de la taxe intérieure de consommation TICPE/TICGN
18 510 avis exprimés";Oui;;Taux;%;IND-35;"Unique Valeur";Evolution;1;0;"mer 06/04/2022 - 15:19";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Part des services en ligne proposant un accompagnement personnalisé";"Part de nos démarches en lignes qui prévoient une assistance";performance;"Données recensées sur https://observatoire.numerique.gouv.fr (https://observatoire.numerique.gouv.fr/observatoire/), sur les principales démarches du MAA : certiphyto, Dematic, déclarations de ruches, déclaration de manipulation des denrées animales, LOGICS";Oui;;Taux;%;IND-34;"Unique Valeur";Evolution;1;0;"mer 06/04/2022 - 15:18";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Délai de réponse aux saisies par voie électronique de l'administration";"Part des demandes par voie électronique ayant reçu une 1ère réponse sous 10 jours";performance;"Données de suivi des saisines par voie électronique de l’administration auprès des directions régionales de l’alimentation, de l’agriculture et de la forêt, sur 2 349 saisines";Oui;;Taux;%;IND-32;"Unique Valeur";Evolution;1;0;"mer 06/04/2022 - 15:18";Oui
"Ministère de la Justice";"Jugements pénaux - Convocation d'un OPJ : durée moyenne entre l'arrivée au parquet et le jugement";"Durée moyenne d'une procédure pénale avec convocation OPJ";performance;"Source : Ministère de la Justice / SG / SEM / SDSE / SID statistiques pénales";Oui;;Temporel;mois;IND-175;"Multi Barres";Evolution;;;"mar 05/04/2022 - 16:46";Oui
"Ministère de la Justice";"Ordonnances pénales : durée moyenne entre l'arrivée au parquet et le classement";"Délai moyen de traitement d'une ordonnance pénale";performance;"Source : Ministère de la Justice / SG / SEM / SDSE / SID statistiques pénales";Oui;;Temporel;mois;IND-179;"Multi Barres";Evolution;2;1;"mar 05/04/2022 - 16:46";Oui
"France services";"Taux de satisfaction relatif à la qualité de l'accueil";"Taux de satisfaction relatif à la qualité de l'accueil";satisfaction;;Oui;;Taux;%;IND-130;"Multi Barres";Evolution;;;"mar 05/04/2022 - 10:49";Oui
