mid,merchant_creation_date,maximum_number_of_installments_allowed,country_of_registration,countries_of_operations
16143,2019-11-06T13:18:19.004066Z,4,FR,"{FR,ES,BE,DE,IT}"
2242,2019-05-28T17:09:53.094485Z,4,FR,"{FR,ES,DE,BE,IT}"
6051,2019-08-26T21:11:05.490367Z,4,FR,"{FR,ES,BE,DE,IT}"
6612,2019-09-04T17:41:46.991983Z,4,FR,"{FR,ES,DE,BE,IT}"
17090,2019-11-12T16:10:45.442813Z,4,FR,"{FR,ES,DE,BE,IT}"
212,2018-11-30T14:25:58.845047Z,4,FR,"{FR,ES,BE,DE,IT}"
1276,2019-03-22T18:28:40.235404Z,4,FR,"{FR,ES,DE,BE,IT}"
18463,2019-11-20T11:00:28.996672Z,4,ES,"{FR,ES,DE,BE,IT}"
12257,2019-10-14T10:03:47.83003Z,4,FR,"{FR,ES,DE,BE,IT}"
26718,2020-01-27T16:01:44.402136Z,4,FR,"{FR,ES,BE,DE,IT}"
27260,2020-01-30T14:12:27.680617Z,4,FR,"{FR,ES,DE,BE,IT}"
14210,2019-10-23T13:03:16.003945Z,4,FR,"{FR,ES,DE,BE,IT}"
31436,2020-02-25T09:53:30.631233Z,4,FR,"{FR,ES,DE,BE,IT}"
908,2019-02-28T06:11:52.33251Z,4,FR,"{FR,ES,DE,BE,IT}"
25732,2020-01-20T07:50:07.832626Z,4,FR,"{FR,ES,DE,BE,IT}"
13108,2019-10-17T09:08:56.238906Z,4,FR,"{FR,ES,BE,DE,IT}"
15988,2019-11-05T16:45:21.771588Z,4,FR,"{FR,ES,DE,BE,IT}"
4640,2019-07-23T10:16:31.434852Z,4,FR,"{FR,ES,DE,BE,IT}"
7288,2019-09-12T11:23:52.4839Z,10,FR,"{FR,ES,DE,BE,IT}"
5200,2019-08-05T11:05:35.808807Z,4,FR,"{FR,ES,BE,DE,IT}"
1972,2019-05-21T08:54:07.028654Z,10,FR,"{FR,ES,DE,BE,IT}"
38396,2020-03-19T15:01:58.574682Z,4,FR,"{FR,ES,DE,BE,IT}"
23374,2020-01-01T19:23:41.250317Z,4,GB,"{FR,ES,DE,BE,IT}"
53456,2020-04-21T16:30:37.640535Z,4,FR,"{FR,ES,DE,BE,IT}"
21479,2019-12-10T10:42:39.378392Z,4,FR,"{FR,ES,DE,BE,IT}"
44002,2020-04-03T16:25:38.820594Z,4,FR,"{FR,ES,DE,BE,IT}"
46322,2020-04-08T13:27:39.804342Z,4,FR,"{FR,ES,DE,BE,IT}"
2648,2019-06-12T11:11:47.654529Z,12,FR,"{FR,ES,DE,BE,IT}"
43925,2020-04-03T14:38:40.17002Z,4,FR,"{FR,ES,DE,BE,IT}"
4659,2019-07-23T10:37:43.222916Z,10,FR,"{FR,ES,DE,BE,IT}"
129746,2020-09-07T13:39:32.936003Z,4,FR,"{FR,ES,DE,BE,IT}"
46806,2020-04-09T07:53:30.439159Z,4,FR,"{FR,ES,DE,BE,IT}"
36752,2020-03-13T07:32:40.52377Z,4,FR,"{FR,ES,DE,BE,IT}"
16220,2019-11-06T17:04:10.197589Z,4,FR,"{FR,ES,DE,BE,IT}"
157779,2020-10-21T08:19:57.474265Z,4,FR,"{FR,ES,DE,BE,IT}"
11619,2019-10-10T09:49:54.349761Z,4,FR,"{FR,ES,DE,BE,IT}"
1005,2019-03-07T13:16:06.269826Z,4,FR,"{FR,ES,BE,DE,IT}"
38376,2020-03-19T14:45:07.28347Z,4,FR,"{FR,ES,DE,BE,IT}"
1508,2019-04-08T21:39:04.299619Z,10,FR,"{FR,ES,DE,BE,IT}"
2068,2019-05-23T11:29:33.633247Z,4,FR,"{FR,ES,DE,BE,IT}"
