Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
91645;91370;VERRIERES-LE-BUISSON;ESSONNE;ILE-DE-FRANCE;Commune simple;121.0;999.0;15.5;48.750443119964764,2.251712972144151;"{""coordinates"": [[[2.238024349288764, 48.735565859837095], [2.226414985434264, 48.75003536744732], [2.22450256558849, 48.75882853410981], [2.232859032169924, 48.76598806763034], [2.250043759055985, 48.761213267519565], [2.269288614654887, 48.76063999654954], [2.276145972515501, 48.75666127305422], [2.283691112862691, 48.748081131389654], [2.274517407535147, 48.74072222671912], [2.238024349288764, 48.735565859837095]]], ""type"": ""Polygon""}";16275;645;03;3;91;11
77133;77126;COURCELLES-EN-BASSEE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;88.0;1082.0;0.2;48.41256065214989,3.052940505560729;"{""coordinates"": [[[3.076046701822989, 48.397361878531605], [3.063543312872447, 48.40290215525443], [3.044758381476711, 48.3978276484716], [3.034761984122421, 48.39926146328478], [3.020642255927941, 48.39551316759141], [3.010956509025493, 48.39763766392435], [3.027765439177065, 48.402646031453706], [3.027972845131529, 48.411552580260555], [3.040895342404548, 48.416227017670224], [3.04385481424453, 48.432140675154415], [3.061525874606292, 48.43389612009283], [3.068145553754999, 48.43024896325371], [3.068528666803148, 48.42341145518176], [3.083214183756346, 48.40196333366034], [3.076046701822989, 48.397361878531605]]], ""type"": ""Polygon""}";31428;133;20;3;77;11
77520;77760;VILLIERS-SOUS-GREZ;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;87.0;1216.0;0.8;48.31443334475717,2.639183516603568;"{""coordinates"": [[[2.647597818993479, 48.29824589941869], [2.622960548795697, 48.296505450436854], [2.61358393237338, 48.299048460028196], [2.610771518144204, 48.30190041144272], [2.615127585791105, 48.318478718973], [2.616644811382635, 48.32501563845942], [2.625379820268095, 48.32416187020388], [2.6411912158039783, 48.33211936714308], [2.670759334988169, 48.32923620484544], [2.6678564295105422, 48.31886332444509], [2.647597818993479, 48.29824589941869]]], ""type"": ""Polygon""}";31494;520;03;4;77;11
91378;91730;MAUCHAMPS;ESSONNE;ILE-DE-FRANCE;Commune simple;150.0;313.0;0.30000000000000004;48.52726809075556,2.19718165044305;"{""coordinates"": [[[2.203466690733517, 48.51655284725087], [2.194862275092367, 48.51516342092208], [2.187298703016565, 48.518287625065426], [2.189277035188291, 48.534854146313315], [2.195177412526977, 48.53963518797898], [2.192640118891314, 48.5425327211163], [2.208230369748835, 48.533785391795064], [2.203466690733517, 48.51655284725087]]], ""type"": ""Polygon""}";30975;378;09;1;91;11
95219;95120;ERMONT;VAL-D'OISE;ILE-DE-FRANCE;Chef-lieu canton;54.0;419.0;27.6;48.98824217002412,2.256624437371757;"{""coordinates"": [[[2.273423372956813, 48.97670674550495], [2.249424348993509, 48.97931970716351], [2.242380838403832, 48.983600864430905], [2.243522538577889, 48.994336150942765], [2.250359431011816, 49.00068276180349], [2.252337979348143, 49.00185512555643], [2.263474556845591, 48.99817415412632], [2.2738458207417382, 48.97678124441292], [2.273423372956813, 48.97670674550495]]], ""type"": ""Polygon""}";22582;219;10;3;95;11
93074;93410;VAUJOURS;SEINE-SAINT-DENIS;ILE-DE-FRANCE;Commune simple;87.0;368.0;6.3;48.932477260516166,2.58100257040038;"{""coordinates"": [[[2.592341722831451, 48.92502361661402], [2.589686798864208, 48.92769439714401], [2.571205921541105, 48.924617115113854], [2.564583527207108, 48.92831624231729], [2.557242618170468, 48.93453929660935], [2.557045023117815, 48.935302946618414], [2.566654946511279, 48.93687582814727], [2.5690183420093513, 48.943233165676354], [2.574758302676825, 48.93746239809798], [2.595934503003416, 48.938614776697115], [2.602402744539802, 48.93531811475754], [2.602598431431983, 48.929356602780615], [2.592341722831451, 48.92502361661402]]], ""type"": ""Polygon""}";34647;074;15;2;93;11
77243;77400;LAGNY-SUR-MARNE;SEINE-ET-MARNE;ILE-DE-FRANCE;Chef-lieu canton;71.0;579.0;20.2;48.87307018579678,2.7097808131278462;"{""coordinates"": [[[2.727542158243183, 48.85975862454365], [2.709454819890855, 48.864761276749235], [2.696453631985896, 48.866608587950175], [2.694166759216122, 48.8730238890733], [2.680162376432985, 48.87129657626423], [2.673953998830155, 48.87652283001623], [2.703843665050603, 48.88069236307745], [2.727733026974796, 48.883222165132516], [2.73488085797555, 48.882707616585115], [2.729823867621858, 48.882345582776395], [2.729660828405411, 48.869098369135386], [2.727542158243183, 48.85975862454365]]], ""type"": ""Polygon""}";17000;243;14;5;77;11
92020;92320;CHATILLON;HAUTS-DE-SEINE;ILE-DE-FRANCE;Chef-lieu canton;101.0;293.0;32.4;48.80340917559003,2.287991318832493;"{""coordinates"": [[[2.272195653730433, 48.79412525297508], [2.279913901436275, 48.81091886555575], [2.300143619531496, 48.81135378943319], [2.3026796552340683, 48.81111677849685], [2.303518683057333, 48.80539252511203], [2.292222681927971, 48.79597239629406], [2.272195653730433, 48.79412525297508]]], ""type"": ""Polygon""}";30950;020;10;1;92;11
77414;77160;SAINT-HILLIERS;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;158.0;1907.0;0.4;48.62891464105825,3.2582355268439223;"{""coordinates"": [[[3.294591124893771, 48.60877605723952], [3.29531854060658, 48.60547301549351], [3.290995933202515, 48.60378356183016], [3.275986704095835, 48.60476379766133], [3.27595041566673, 48.608173062886536], [3.270976809834165, 48.6090390278925], [3.245588381018528, 48.607061188127254], [3.237278280508233, 48.61107189267752], [3.232117626239477, 48.63420837577119], [3.218540661220731, 48.65227783804241], [3.233568971069905, 48.652285311406445], [3.236473006862096, 48.655032003826726], [3.246153058057142, 48.65504838353487], [3.246685112141233, 48.661352640924484], [3.251298835841334, 48.66076733710628], [3.25853712367706, 48.652782447398046], [3.263222135732941, 48.65305103217835], [3.269528225577764, 48.64384416416118], [3.267295616354283, 48.63724690448644], [3.279655938866881, 48.62641552041238], [3.303607671942729, 48.622156175743044], [3.294591124893771, 48.60877605723952]]], ""type"": ""Polygon""}";34949;414;25;3;77;11
77504;77710;VILLEMARECHAL;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;117.0;1423.0;0.8;48.27169757070622,2.8685481445842003;"{""coordinates"": [[[2.8369287939171963, 48.25173650259403], [2.843697269003723, 48.26359544175472], [2.8370007219125553, 48.27205305361366], [2.839145171065279, 48.284814353516516], [2.855763772377481, 48.28114684573555], [2.871221113865781, 48.29392295277754], [2.8898849465123693, 48.286060112861286], [2.900791201118823, 48.286114747540374], [2.898098986407986, 48.27007904463161], [2.890478590601012, 48.26637426469398], [2.8926330741830943, 48.26059983118541], [2.883810077782031, 48.25313250937412], [2.859954635411102, 48.256318797913345], [2.8369287939171963, 48.25173650259403]]], ""type"": ""Polygon""}";21976;504;16;4;77;11
77214;77410;GRESSY;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;62.0;335.0;0.9;48.96500997292701,2.664403767243342;"{""coordinates"": [[[2.653194165163208, 48.955619189511786], [2.650281677509938, 48.96433340148263], [2.6608253271660782, 48.97475885201799], [2.672180115173003, 48.976391051931046], [2.676856892795135, 48.966808921559874], [2.674584928304008, 48.956659330682626], [2.653194165163208, 48.955619189511786]]], ""type"": ""Polygon""}";6850;214;37;1;77;11
77085;77600;CHANTELOUP-EN-BRIE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;113.0;317.0;2.0;48.85777660328836,2.74039391563446;"{""coordinates"": [[[2.7427058949749723, 48.847210585995796], [2.732076461128301, 48.852664183465386], [2.727542158243183, 48.85975862454365], [2.729660828405411, 48.869098369135386], [2.742350580263269, 48.86395528097876], [2.75211136727975, 48.86372408639865], [2.752336968526274, 48.8506753500573], [2.7427058949749723, 48.847210585995796]]], ""type"": ""Polygon""}";29576;085;43;5;77;11
78297;78280;GUYANCOURT;YVELINES;ILE-DE-FRANCE;Commune simple;156.0;1325.0;28.2;48.773078389214554,2.076052077371826;"{""coordinates"": [[[2.101493757164682, 48.75649129993281], [2.08823789471731, 48.752936893594246], [2.07858975186495, 48.753924202942734], [2.068432941986947, 48.75671468969072], [2.053735529899987, 48.76751858741471], [2.055380118501552, 48.770625730194375], [2.046455004967806, 48.77353201029189], [2.044366015178146, 48.77985644398854], [2.053611708429214, 48.794608915730564], [2.070251387007021, 48.78981062262139], [2.105472174907891, 48.78074332208332], [2.101493757164682, 48.75649129993281]]], ""type"": ""Polygon""}";20935;297;28;4;78;11
