County Level Latest Data for Washington
Date generated: Wed Jan 26 2022 13:51:54 GMT+0100 (Central European Standard Time)
FIPS code,State Name,County,Case count last 7 days ,Case rate /100k last 7 days ,Cases % change from previous week ,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Death count last 7 days ,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Death rate /100k last 7 days ,Deaths % change from previous week ,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100 inpatient beds including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Level of Community Transmission,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population
53001,Washington,Adams County,379,1896.61,141.4,N/A,N/A,N/A,N/A,N/A,0,5,0.00,0,10.38,3.26,19.5,25.2,11.33,0.9621,0.91,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,1,5.98,0,0,-1.82,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,19983,Non-metro,Micropolitan,Urban population of 2500 to 19999 adjacent to a metro area,7614893,331996199
53003,Washington,Asotin County,254,1124.79,139.62,N/A,N/A,N/A,N/A,N/A,0,44.28,0.00,0,35.5,2.41,7.3,13,23.96,0.4248,0.36,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,10,49.65,233.33,21.28,4.84,3.57,39.29,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,22582,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53005,Washington,Benton County,5063,2477.13,161.92,N/A,N/A,N/A,N/A,N/A,suppressed,30.82,suppressed,100,120.22,2.71,7.6,12.8,15.39,0.514,0.63,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,63,14.71,-3.08,19.31,6.79,14.85,35.71,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,204390,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53007,Washington,Chelan County,1890,2448.19,80.34,N/A,N/A,N/A,N/A,N/A,suppressed,62.18,suppressed,100,26.43,2.66,8.9,11.6,19.65,0.678,0.38,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,48,26.52,45.46,16.14,5.79,6.94,27.91,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,77200,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53009,Washington,Clallam County,1042,1347.45,110.93,N/A,N/A,N/A,N/A,N/A,suppressed,7.76,suppressed,-40,44.48,2.24,8.9,15.9,30.46,0.6146,0.29,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,6,12.8,-33.33,13.42,-3.93,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,77331,Non-metro,Micropolitan,Urban population of 20000 or more not adjacent to a metro area,7614893,331996199
53011,Washington,Clark County,8502,1741.35,102.53,N/A,N/A,N/A,N/A,N/A,23,23.96,4.71,27.78,776.86,2.69,6.3,9.3,15.96,0.2857,0.5,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,117,17.58,20.62,20.09,1.77,4.77,32.23,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,488241,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,7614893,331996199
53013,Washington,Columbia County,16,401.51,77.78,N/A,N/A,N/A,N/A,N/A,0,25.09,0.00,0,4.59,2.23,4.9,11.6,28.46,0.3146,0.25,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,1,20,-50,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,3985,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53015,Washington,Cowlitz County,1864,1685.46,157.1,N/A,N/A,N/A,N/A,N/A,suppressed,27.13,suppressed,60,96.91,2.51,5.8,16,19.33,0.7885,0.32,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,30,16.67,50,12.86,-1.43,3.8,48.35,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,110593,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53017,Washington,Douglas County,1019,2346.36,99.8,N/A,N/A,N/A,N/A,N/A,0,N/A,0.00,-100,23.87,2.72,10.4,13.3,18.16,0.7707,0.87,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,43429,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53019,Washington,Ferry County,106,1389.80,158.54,N/A,N/A,N/A,N/A,N/A,0,13.11,0.00,-100,3.46,2.38,8.1,18.8,28.24,0.8223,0.65,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,1,9.09,N/A,5.2,5.2,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,7627,Non-metro,Noncore,Completely rural or less than 2500 urban population not adjacent to a metro area,7614893,331996199
53021,Washington,Franklin County,3506,3681.92,194.37,N/A,N/A,N/A,N/A,N/A,suppressed,4.2,suppressed,0,76.69,3.36,14.9,15.7,9.65,0.8691,0.89,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,4,16,-20,20,-3.43,-11.91,23.81,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,95222,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53023,Washington,Garfield County,22,988.76,175,N/A,N/A,N/A,N/A,N/A,0,0,0.00,0,3.13,2.21,5.4,11.6,25.35,0.1834,0.29,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,0,0,N/A,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,2225,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,7614893,331996199
53025,Washington,Grant County,2176,2226.47,148.69,N/A,N/A,N/A,N/A,N/A,suppressed,9.21,suppressed,33.33,36.47,3.06,13.5,14.4,14.05,0.8452,0.92,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,9,12.91,-25,13.11,0.84,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,97733,Non-metro,Micropolitan,Urban population of 20000 or more not adjacent to a metro area,7614893,331996199
53027,Washington,Grays Harbor County,1420,1891.79,134.71,N/A,N/A,N/A,N/A,N/A,suppressed,47.96,suppressed,-57.14,39.48,2.44,8.4,15.9,22.31,0.8392,0.66,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,36,88.73,28.57,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,75061,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
53029,Washington,Island County,1291,1516.31,101.09,N/A,N/A,N/A,N/A,N/A,suppressed,35.24,suppressed,N/A,408.33,2.31,5.5,8.6,25.22,0.1857,0.16,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,30,109.95,25,15.71,3.88,19.05,33.33,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,85141,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
53031,Washington,Jefferson County,342,1061.42,84.86,N/A,N/A,N/A,N/A,N/A,0,3.1,0.00,-100,17.86,2.11,6,13.3,37.95,0.2414,0.34,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,1,7.22,-83.33,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,32221,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,7614893,331996199
53033,Washington,King County,46370,2058.34,128.24,N/A,N/A,N/A,N/A,N/A,65,21.4,2.89,182.61,1065,2.46,5.7,9.5,13.51,0.2854,0.28,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,19,482,12.72,-6.23,18.48,0.82,1.46,21.51,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,2252782,Metro,Large central metro,Counties in metro areas of 1 million population or more,7614893,331996199
53035,Washington,Kitsap County,5333,1964.47,179.21,N/A,N/A,N/A,N/A,N/A,suppressed,8.1,suppressed,N/A,687.05,2.51,5,9.7,18.37,0.2825,0.2,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,22,7.76,10,19.8,2.15,0,31.2,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,271473,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53037,Washington,Kittitas County,677,1412.33,91.78,N/A,N/A,N/A,N/A,N/A,suppressed,12.52,suppressed,N/A,20.87,2.35,6.8,19,16.75,0.2831,0.14,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,6,22.83,0,14.13,-5.98,-7.14,42.86,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,47935,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
53039,Washington,Klickitat County,279,1244.15,287.5,N/A,N/A,N/A,N/A,N/A,suppressed,13.38,suppressed,0,11.98,2.48,8.1,15,24.53,0.5723,0.7,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,3,12,50,4.57,0,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,22425,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,7614893,331996199
53041,Washington,Lewis County,1580,1957.70,351.43,N/A,N/A,N/A,N/A,N/A,suppressed,27.26,suppressed,-42.86,33.59,2.51,8.2,14.4,21.31,0.7889,0.77,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,22,19.9,-8.33,30.36,2.7,16.32,71.88,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,80707,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
